"account_id","id","city","coordinates","country","device_id","hl","ip","open_from_qr_code","platform","viewing_date"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","4PKdtB","bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","6864572312.1668906081515","fr","92.184.108.130","false","app","2022-12-04T14:59:06.621Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","4oS3Ly","strasbourg","[{""N"":""48.5839""},{""N"":""7.7455""}]","fr","8705400293.1674080749160","fr","92.184.124.75","false","web","2023-01-18T22:18:43.338Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","58DUna","marrakesh","[{""N"":""31.6342""},{""N"":""-7.9999""}]","ma","8640793991.1672846010734","fr","105.158.102.141","false","web","2023-01-04T16:52:15.558Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","5RJ99t","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","5752083506.1668813242600","en","80.9.240.131","false","app","2022-12-04T23:57:05.744Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","77EJzh","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","5752083506.1668813242600","en","80.9.240.131","false","app","2022-12-23T00:44:48.233Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","7DBh7k","colomiers","[{""N"":""43.6106""},{""N"":""1.3347""}]","fr","5938009835.1671065936410","fr","80.9.240.131","false","web","2022-12-15T00:54:48.638Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","7aXNlq","colomiers","[{""N"":""43.6106""},{""N"":""1.3347""}]","fr","6823081793.1669732805348","fr","80.9.240.131","false","web","2022-11-29T14:40:49.316Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","9bMzYJ","colomiers","[{""N"":""43.6106""},{""N"":""1.3347""}]","fr","6957485173.1667991505203","fr","80.9.240.131","false","web","2022-11-09T10:58:44.930Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","9jnxqT","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","6864572312.1668906081515","fr","80.9.240.131","false","app","2022-11-21T20:24:52.665Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","9mtibb","paris","[{""N"":""48.8534""},{""N"":""2.3488""}]","fr","2047358982.1667950602534","fr","92.184.104.183","false","web","2022-11-12T22:59:01.044Z"
